Date;Time;Routine;Exercise;Set;Weight;Reps;Duration;Distance;Para6;Para7;Para8;Para9;Para10;Note;Type;Book;Version1
23.04.2025;09:15:18;C;Cadeira extensora;1;23.0;10.0;;;;;;;;;1;1;1
23.04.2025;09:17:32;C;Cadeira extensora;2;23.0;10.0;;;84.0;84.0;;;;;1;1;1
23.04.2025;09:20:00;C;Cadeira extensora;3;23.0;10.0;;;102.0;104.0;;;;;1;1;1
23.04.2025;09:23:22;C;Elevação de panturrilha na máquina (em pé);1;15.0;12.0;;;100.0;100.0;;;;;1;1;1
23.04.2025;09:26:45;C;Elevação de panturrilha na máquina (em pé);2;15.0;12.0;;;98.0;98.0;;;;;1;1;1
23.04.2025;09:28:47;C;Elevação de panturrilha na máquina (em pé);3;15.0;12.0;;;93.0;98.0;;;;;1;1;1
23.04.2025;09:32:14;C;Elevação de panturrilha na máquina (em pé);4;15.0;12.0;;;;;;;;;1;1;1
23.04.2025;09:39:26;C;Agachamento Sumô;1;14.0;15.0;;;85.0;85.0;;;;;1;1;1
23.04.2025;09:40:14;C;Agachamento Sumô;2;14.0;15.0;;;;;;;;;1;1;1
23.04.2025;09:42:46;C;Agachamento Sumô;3;14.0;15.0;;;107.0;107.0;;;;;1;1;1
23.04.2025;09:44:29;C;Agachamento Sumô;4;14.0;15.0;;;77.0;77.0;;;;;1;1;1
23.04.2025;09:46:01;C;Elevação de panturrilha na máquina (sentado);1;20.0;15.0;;;;;;;;;1;1;1
23.04.2025;09:49:31;C;Elevação de panturrilha na máquina (sentado);2;20.0;15.0;;;127.0;128.0;;;;;1;1;1
23.04.2025;09:51:15;C;Elevação de panturrilha na máquina (sentado);3;20.0;15.0;;;117.0;130.0;;;;;1;1;1
23.04.2025;10:01:22;C;Leg Press 45 graus;1;20.0;12.0;;;97.0;110.0;;;;;1;1;1
23.04.2025;10:03:02;C;Leg Press 45 graus;2;20.0;10.0;;;101.0;119.0;;;;;1;1;1
23.04.2025;10:05:17;C;Leg Press 45 graus;3;20.0;10.0;;;121.0;124.0;;;;;1;1;1
23.04.2025;10:07:53;C;Prancha (apoio nos antebraços);1;0.05;8.0;;;122.0;122.0;;;;;1;1;1
23.04.2025;10:14:52;C;Prancha (apoio nos antebraços);2;0.05;8.0;;;;;;;;;1;1;1
23.04.2025;10:18:32;C;Prancha (apoio nos antebraços);3;0.05;8.0;;;;;;;;;1;1;1
23.04.2025;10:22:42;C;Afundo 3x8 (cada lado);1;0.0;8.0;;;;;;;;;1;1;1
24.04.2025;10:01:31;D;Supino Articulado Máquina (Pré-ativação);1;10.0;10.0;;;57.0;57.0;;;;;1;1;1
24.04.2025;10:02:55;D;Supino Articulado Máquina (Pré-ativação);2;15.0;10.0;;;;;;;;;1;1;1
24.04.2025;10:03:16;D;Supino na Máquina (inclinado);1;10.0;10.0;;;75.0;92.0;;;;;1;1;1
24.04.2025;10:04:00;D;Supino na Máquina (inclinado);2;10.0;10.0;;;57.0;57.0;;;;;1;1;1
24.04.2025;10:05:26;D;Supino na Máquina (inclinado);3;15.0;10.0;;;;;;;;;1;1;1
24.04.2025;10:13:41;D;Supino Articulado Máquina (Pré-ativação);3;40.0;12.0;;;107.0;107.0;;;;;1;1;1
24.04.2025;10:15:29;D;Supino Articulado Máquina (Pré-ativação);4;40.0;12.0;;;53.0;53.0;;;;;1;1;1
24.04.2025;10:17:20;D;Supino Articulado Máquina (Pré-ativação);5;40.0;8.0;;;;;;;;;1;1;1
24.04.2025;10:30:50;D;Crossover Polia Alta;1;10.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:31:03;D;Crossover Polia Alta;2;10.0;15.0;;;118.0;118.0;;;;;1;1;1
24.04.2025;10:32:55;D;Crossover Polia Alta;3;10.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:34:48;D;Crossover Polia Alta;4;10.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:37:15;D;Crossover Polia Baixa;1;10.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:39:14;D;Crossover Polia Baixa;2;10.0;12.0;;;;;;;;;1;1;1
24.04.2025;10:41:14;D;Crossover Polia Baixa;3;10.0;10.0;;;60.0;60.0;;;;;1;1;1
24.04.2025;10:43:06;D;Crossover Polia Baixa;4;10.0;8.0;;;70.0;70.0;;;;;1;1;1
24.04.2025;10:45:40;D;Tríceps Polia Barra Reta;1;25.0;15.0;;;67.0;72.0;;;;;1;1;1
24.04.2025;10:47:37;D;Tríceps Polia Barra Reta;2;25.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:49:30;D;Tríceps Polia Barra Reta;3;25.0;14.0;;;60.0;60.0;;;;;1;1;1
24.04.2025;10:51:24;D;Tríceps Polia Barra Reta;4;25.0;15.0;;;;;;;;;1;1;1
24.04.2025;10:54:43;D;Tríceps Máquina Paralelas;1;32.0;12.0;;;;;;;;;1;1;1
24.04.2025;10:56:14;D;Tríceps Máquina Paralelas;2;32.0;12.0;;;113.0;113.0;;;;;1;1;1
24.04.2025;10:58:11;D;Tríceps Máquina Paralelas;3;32.0;12.0;;;;;;;;;1;1;1
25.04.2025;19:34:19;E;Graviton Aberto;1;60.0;10.0;;;87.0;87.0;;;;;1;1;1
25.04.2025;19:36:34;E;Graviton Aberto;2;60.0;10.0;;;102.0;102.0;;;;;1;1;1
25.04.2025;19:38:33;E;Graviton Aberto;3;60.0;10.0;;;76.0;103.0;;;;;1;1;1
25.04.2025;19:43:00;E;Elevação Lateral com Halteres (em pé);1;8.0;10.0;;;;;;;;;1;1;1
25.04.2025;19:45:13;E;Elevação Lateral com Halteres (em pé);2;8.0;10.0;;;80.0;80.0;;;;;1;1;1
25.04.2025;19:47:37;E;Elevação Lateral com Halteres (em pé);3;8.0;10.0;;;;;;;;;1;1;1
25.04.2025;19:55:08;E;Crucifixo inverso na máquina (sentado);1;12.5;10.0;;;55.0;55.0;;;;;1;1;1
25.04.2025;19:56:48;E;Crucifixo inverso na máquina (sentado);2;25.0;10.0;;;111.0;111.0;;;;;1;1;1
25.04.2025;19:58:31;E;Crucifixo inverso na máquina (sentado);3;25.0;10.0;;;114.0;114.0;;;;;1;1;1
25.04.2025;20:02:45;E;Desenvolvimento na máquina (sentado);1;25.0;12.0;;;;;;;;;1;1;1
25.04.2025;20:03:01;E;Desenvolvimento na máquina (sentado);2;25.0;12.0;;;68.0;73.0;;;;;1;1;1
25.04.2025;20:03:14;E;Desenvolvimento na máquina (sentado);3;25.0;12.0;;;68.0;73.0;;;;;1;1;1
25.04.2025;20:03:40;E;Elevação Frontal Cross;1;7.5;10.0;;;79.0;83.0;;;;;1;1;1
25.04.2025;20:04:55;E;Elevação Frontal Cross;2;7.5;10.0;;;67.0;67.0;;;;;1;1;1
25.04.2025;20:06:49;E;Elevação Frontal Cross;3;7.5;10.0;;;67.0;67.0;;;;;1;1;1
25.04.2025;20:16:58;E;Elevação de panturrilha na máquina (sentado);1;20.0;15.0;;;77.0;87.0;;;;;1;1;1
25.04.2025;20:20:36;E;Abdominal Máquina Reto e Oblíquos 3x15 + 10 (cada lado);1;5.0;8.0;;;85.0;85.0;;;;;1;1;1
25.04.2025;20:23:50;E;Abdominal Máquina Reto e Oblíquos 3x15 + 10 (cada lado);2;10.0;18.0;;;84.0;84.0;;;;;1;1;1
25.04.2025;20:25:31;E;Abdominal Máquina Reto e Oblíquos 3x15 + 10 (cada lado);3;10.0;18.0;;;;;;;;;1;1;1
28.04.2025;10:12:16;A;Leg Press 45 graus;1;10.0;15.0;;;93.0;99.0;;;;;1;1;1
28.04.2025;10:14:02;A;Leg Press 45 graus;2;10.0;15.0;;;101.0;114.0;;;;;1;1;1
28.04.2025;10:15:48;A;Leg Press 45 graus;3;10.0;15.0;;;96.0;104.0;;;;;1;1;1
28.04.2025;10:18:05;A;Leg Press 45 graus;4;10.0;15.0;;;105.0;122.0;;;;;1;1;1
28.04.2025;10:25:31;A;Agachamento Sumo;1;14.0;12.0;;;92.0;104.0;;;;;1;1;1
28.04.2025;10:27:13;A;Agachamento Sumo;2;14.0;10.0;;;104.0;104.0;;;;;1;1;1
28.04.2025;10:28:53;A;Agachamento Sumo;3;14.0;8.0;;;121.0;123.0;;;;;1;1;1
28.04.2025;10:34:02;A;Agachamento Sumo;4;14.0;6.0;;;104.0;104.0;;;;;1;1;1
28.04.2025;10:35:17;A;Abdução na Máquina (sentado);1;32.0;15.0;;;96.0;104.0;;;;;1;1;1
28.04.2025;10:36:57;A;Abdução na Máquina (sentado);2;32.0;15.0;;;102.0;113.0;;;;;1;1;1
28.04.2025;10:38:34;A;Abdução na Máquina (sentado);3;32.0;15.0;;;123.0;142.0;;;;;1;1;1
28.04.2025;10:45:28;A;Abdução na Máquina (sentado);4;32.0;15.0;;;110.0;116.0;;;;;1;1;1
28.04.2025;10:49:09;A;Elevação Pélvica;1;10.0;10.0;;;114.0;123.0;;;;;1;1;1
28.04.2025;10:52:56;A;Elevação Pélvica;2;10.0;10.0;;;;;;;;;1;1;1
28.04.2025;10:54:36;A;Elevação Pélvica;3;10.0;10.0;;;75.0;75.0;;;;;1;1;1
28.04.2025;10:56:24;A;Elevação Pélvica;4;10.0;10.0;;;75.0;88.0;;;;;1;1;1
28.04.2025;10:59:18;A;Elevação Pélvica;5;10.0;10.0;;;84.0;95.0;;;;;1;1;1
28.04.2025;11:01:48;A;Mesa Flexora (deitado);1;14.0;8.0;;;74.0;90.0;;;;;1;1;1
28.04.2025;11:03:45;A;Mesa Flexora (deitado);2;18.0;8.0;;;99.0;105.0;;;;;1;1;1
28.04.2025;11:06:58;A;Mesa Flexora (deitado);3;18.0;8.0;;;85.0;104.0;;;;;1;1;1
28.04.2025;11:14:29;A;Agachamento Búlgaro;1;8.0;9.0;;;;;;;;;1;1;1
28.04.2025;11:14:46;A;Agachamento Búlgaro;2;8.0;8.0;;;81.0;81.0;;;;;1;1;1
28.04.2025;11:21:10;A;Agachamento Búlgaro;3;8.0;16.0;;;;;;;;;1;1;1
28.04.2025;11:21:43;A;Lombar Banco Dorsal;1;0.0;15.0;;;117.0;117.0;;;;;1;1;1
28.04.2025;11:23:48;A;Lombar Banco Dorsal;2;0.0;12.0;;;126.0;126.0;;;;;1;1;1
28.04.2025;11:25:25;A;Lombar Banco Dorsal;3;0.0;15.0;;;123.0;123.0;;;;;1;1;1
28.04.2025;11:26:03;A;Mobilidade de Inferiores;1;0.0;15.0;;;90.0;99.0;;;;;1;1;1
28.04.2025;11:26:16;A;Mobilidade de Inferiores;2;0.0;15.0;;;94.0;99.0;;;;;1;1;1
28.04.2025;11:27:15;A;Mobilidade de Inferiores;3;0.0;15.0;;;;;;;;;1;1;1
